Contract Name	Last Trade Date	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
AAPL221028C00145000	2022-09-27 3:10PM EDT	145.00	11.80	10.65	12.85	+0.85	+7.76%	365	346	51.82%
AAPL221028C00146000	2022-09-27 3:10PM EDT	146.00	11.10	10.05	12.20	-0.43	-3.73%	34	40	51.39%
AAPL221028C00147000	2022-09-27 12:11PM EDT	147.00	9.90	9.45	11.45	-1.60	-13.91%	5	8	50.31%
AAPL221028C00148000	2022-09-27 3:54PM EDT	148.00	9.88	8.85	10.75	+0.38	+4.00%	80	55	49.41%
AAPL221028C00149000	2022-09-27 3:59PM EDT	149.00	9.10	8.30	9.25	+0.45	+5.20%	222	232	43.90%
AAPL221028C00150000	2022-09-27 3:59PM EDT	150.00	8.55	7.75	8.70	+0.55	+6.88%	1,236	2,245	43.73%
AAPL221028C00152500	2022-09-27 3:54PM EDT	152.50	7.25	6.50	7.50	+0.70	+10.69%	721	991	43.79%
AAPL221028C00155000	2022-09-27 3:59PM EDT	155.00	5.75	5.65	5.95	+0.42	+7.88%	2,422	4,358	41.19%
AAPL221028C00157500	2022-09-27 3:52PM EDT	157.50	4.80	4.30	4.80	+0.25	+5.49%	595	2,084	40.07%
AAPL221028C00160000	2022-09-27 3:56PM EDT	160.00	3.65	3.55	3.75	+0.28	+8.31%	1,843	5,989	38.72%
AAPL221028C00162500	2022-09-27 3:59PM EDT	162.50	2.83	2.62	2.92	+0.18	+6.79%	249	853	37.87%
AAPL221028C00165000	2022-09-27 3:54PM EDT	165.00	2.22	2.06	2.21	+0.23	+11.56%	1,174	2,220	36.93%
AAPL221028C00167500	2022-09-27 3:54PM EDT	167.50	1.67	1.45	1.65	+0.20	+13.61%	252	1,219	36.19%
AAPL221028C00170000	2022-09-27 3:57PM EDT	170.00	1.18	1.12	1.21	+0.08	+7.27%	633	2,682	35.55%
AAPL221104C00135000	2022-09-27 2:04PM EDT	135.00	19.88	18.10	21.15	+1.18	+6.31%	1	1	58.42%
AAPL221104C00140000	2022-09-27 1:52PM EDT	140.00	15.65	14.50	17.10	-0.37	-2.31%	29	12	54.18%
AAPL221104C00142000	2022-09-23 10:43AM EDT	142.00	13.25	13.20	15.90	0.00	-	2	2	54.52%
AAPL221104C00144000	2022-09-23 1:48PM EDT	144.00	11.80	11.90	14.25	0.00	-	13	13	52.02%
AAPL221104C00145000	2022-09-27 2:39PM EDT	145.00	12.30	11.30	13.50	+0.65	+5.58%	21	182	51.11%
AAPL221104C00146000	2022-09-27 3:52PM EDT	146.00	11.85	10.70	12.85	+0.45	+3.95%	137	124	50.67%
AAPL221104C00147000	2022-09-27 3:52PM EDT	147.00	11.20	10.10	12.10	+0.15	+1.36%	249	177	49.62%
AAPL221104C00148000	2022-09-27 2:07PM EDT	148.00	10.25	9.50	11.35	+0.25	+2.50%	215	213	48.51%
AAPL221104C00149000	2022-09-27 3:29PM EDT	149.00	9.80	8.95	10.70	+0.40	+4.26%	172	202	47.85%
AAPL221104C00150000	2022-09-27 3:04PM EDT	150.00	9.24	8.45	10.00	+0.44	+5.00%	240	577	46.86%
AAPL221104C00152500	2022-09-27 3:53PM EDT	152.50	7.80	7.20	8.45	-0.05	-0.64%	1,160	434	45.05%
AAPL221104C00155000	2022-09-27 3:59PM EDT	155.00	6.55	5.95	7.05	+0.55	+9.17%	687	511	43.46%
AAPL221104C00157500	2022-09-27 3:45PM EDT	157.50	5.38	5.15	5.55	+0.23	+4.47%	1,182	1,165	40.72%
AAPL221104C00160000	2022-09-27 3:58PM EDT	160.00	4.29	4.00	4.50	+0.29	+7.25%	419	305	39.65%
AAPL221104C00162500	2022-09-27 3:59PM EDT	162.50	3.43	3.20	3.55	+0.18	+5.54%	424	93	38.44%
AAPL221104C00165000	2022-09-27 3:43PM EDT	165.00	2.68	2.46	2.81	+0.16	+6.35%	144	415	37.72%
AAPL221104C00167500	2022-09-27 3:46PM EDT	167.50	2.11	1.89	2.19	+0.13	+6.57%	106	595	37.06%
AAPL221104C00170000	2022-09-27 3:52PM EDT	170.00	1.60	1.44	1.67	+0.01	+0.63%	438	898	36.38%

